composition,thermal_conductivity,temperature,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,Class
Dy3NbO7,1.4,1080,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,26.81818182,58,23.95041322,66,8,8,68.09090909,56,24.0661157,87,31,87,62.94565273,146.5006,59.7497762,162.5,15.9994,15.9994,744.4181818,2695.2,877.6958678,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.363636364,4,1.73553719,6,2,2,109.2727273,126,55.07438017,192,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.363636364,4,0.661157025,4,0,0,2.727272727,10,3.966942149,10,0,0,7.545454545,7,2.429752066,12,5,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,0.545454545,6,0.991735537,6,0,0,1.090909091,4,1.58677686,4,0,0,3,5,1.272727273,7,2,2,15.96681818,22.135,8.73322314,31.24,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.253012048,0.337349398,0.048192771,0.361445783,1,0.708320593,0.313692664,None
Dy3NbO7,1.4,1180,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,26.81818182,58,23.95041322,66,8,8,68.09090909,56,24.0661157,87,31,87,62.94565273,146.5006,59.7497762,162.5,15.9994,15.9994,744.4181818,2695.2,877.6958678,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.363636364,4,1.73553719,6,2,2,109.2727273,126,55.07438017,192,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.363636364,4,0.661157025,4,0,0,2.727272727,10,3.966942149,10,0,0,7.545454545,7,2.429752066,12,5,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,0.545454545,6,0.991735537,6,0,0,1.090909091,4,1.58677686,4,0,0,3,5,1.272727273,7,2,2,15.96681818,22.135,8.73322314,31.24,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.253012048,0.337349398,0.048192771,0.361445783,1,0.708320593,0.313692664,None
Dy3NbO7,1.35,1280,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,26.81818182,58,23.95041322,66,8,8,68.09090909,56,24.0661157,87,31,87,62.94565273,146.5006,59.7497762,162.5,15.9994,15.9994,744.4181818,2695.2,877.6958678,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.363636364,4,1.73553719,6,2,2,109.2727273,126,55.07438017,192,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.363636364,4,0.661157025,4,0,0,2.727272727,10,3.966942149,10,0,0,7.545454545,7,2.429752066,12,5,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,0.545454545,6,0.991735537,6,0,0,1.090909091,4,1.58677686,4,0,0,3,5,1.272727273,7,2,2,15.96681818,22.135,8.73322314,31.24,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.253012048,0.337349398,0.048192771,0.361445783,1,0.708320593,0.313692664,None
Y3NbO7,1.4,300,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,19.45454545,33,14.5785124,41,8,8,62.90909091,75,30.66115702,87,12,87,42.87452091,76.90698,34.20469934,92.90638,15.9994,15.9994,775.5090909,2695.2,917.2661157,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.090909091,3,1.388429752,5,2,2,108.7272727,124,54.38016529,190,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.636363636,4,0.809917355,4,0,0,0,0,0,0,0,0,5.090909091,3,1.157024793,6,3,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,3,9,3.818181818,9,0,0,0,0,0,0,0,0,4.363636364,7,3.008264463,9,2,2,16.27363636,23.26,9.123719008,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.375,0.5,0.125,0,1,0.708320593,0.313692664,None
Y3NbO7,1.5,380,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,19.45454545,33,14.5785124,41,8,8,62.90909091,75,30.66115702,87,12,87,42.87452091,76.90698,34.20469934,92.90638,15.9994,15.9994,775.5090909,2695.2,917.2661157,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.090909091,3,1.388429752,5,2,2,108.7272727,124,54.38016529,190,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.636363636,4,0.809917355,4,0,0,0,0,0,0,0,0,5.090909091,3,1.157024793,6,3,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,3,9,3.818181818,9,0,0,0,0,0,0,0,0,4.363636364,7,3.008264463,9,2,2,16.27363636,23.26,9.123719008,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.375,0.5,0.125,0,1,0.708320593,0.313692664,None
Y3NbO7,1.45,480,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,19.45454545,33,14.5785124,41,8,8,62.90909091,75,30.66115702,87,12,87,42.87452091,76.90698,34.20469934,92.90638,15.9994,15.9994,775.5090909,2695.2,917.2661157,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.090909091,3,1.388429752,5,2,2,108.7272727,124,54.38016529,190,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.636363636,4,0.809917355,4,0,0,0,0,0,0,0,0,5.090909091,3,1.157024793,6,3,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,3,9,3.818181818,9,0,0,0,0,0,0,0,0,4.363636364,7,3.008264463,9,2,2,16.27363636,23.26,9.123719008,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.375,0.5,0.125,0,1,0.708320593,0.313692664,None
Y3NbO7,1.52,580,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,19.45454545,33,14.5785124,41,8,8,62.90909091,75,30.66115702,87,12,87,42.87452091,76.90698,34.20469934,92.90638,15.9994,15.9994,775.5090909,2695.2,917.2661157,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.090909091,3,1.388429752,5,2,2,108.7272727,124,54.38016529,190,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.636363636,4,0.809917355,4,0,0,0,0,0,0,0,0,5.090909091,3,1.157024793,6,3,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,3,9,3.818181818,9,0,0,0,0,0,0,0,0,4.363636364,7,3.008264463,9,2,2,16.27363636,23.26,9.123719008,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.375,0.5,0.125,0,1,0.708320593,0.313692664,None
Y3NbO7,1.5,680,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,19.45454545,33,14.5785124,41,8,8,62.90909091,75,30.66115702,87,12,87,42.87452091,76.90698,34.20469934,92.90638,15.9994,15.9994,775.5090909,2695.2,917.2661157,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.090909091,3,1.388429752,5,2,2,108.7272727,124,54.38016529,190,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.636363636,4,0.809917355,4,0,0,0,0,0,0,0,0,5.090909091,3,1.157024793,6,3,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,3,9,3.818181818,9,0,0,0,0,0,0,0,0,4.363636364,7,3.008264463,9,2,2,16.27363636,23.26,9.123719008,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.375,0.5,0.125,0,1,0.708320593,0.313692664,None
Y3NbO7,1.53,780,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,19.45454545,33,14.5785124,41,8,8,62.90909091,75,30.66115702,87,12,87,42.87452091,76.90698,34.20469934,92.90638,15.9994,15.9994,775.5090909,2695.2,917.2661157,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.090909091,3,1.388429752,5,2,2,108.7272727,124,54.38016529,190,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.636363636,4,0.809917355,4,0,0,0,0,0,0,0,0,5.090909091,3,1.157024793,6,3,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,3,9,3.818181818,9,0,0,0,0,0,0,0,0,4.363636364,7,3.008264463,9,2,2,16.27363636,23.26,9.123719008,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.375,0.5,0.125,0,1,0.708320593,0.313692664,None
Y3NbO7,1.55,880,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,19.45454545,33,14.5785124,41,8,8,62.90909091,75,30.66115702,87,12,87,42.87452091,76.90698,34.20469934,92.90638,15.9994,15.9994,775.5090909,2695.2,917.2661157,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.090909091,3,1.388429752,5,2,2,108.7272727,124,54.38016529,190,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.636363636,4,0.809917355,4,0,0,0,0,0,0,0,0,5.090909091,3,1.157024793,6,3,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,3,9,3.818181818,9,0,0,0,0,0,0,0,0,4.363636364,7,3.008264463,9,2,2,16.27363636,23.26,9.123719008,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.375,0.5,0.125,0,1,0.708320593,0.313692664,None
Y3NbO7,1.57,980,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,19.45454545,33,14.5785124,41,8,8,62.90909091,75,30.66115702,87,12,87,42.87452091,76.90698,34.20469934,92.90638,15.9994,15.9994,775.5090909,2695.2,917.2661157,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.090909091,3,1.388429752,5,2,2,108.7272727,124,54.38016529,190,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.636363636,4,0.809917355,4,0,0,0,0,0,0,0,0,5.090909091,3,1.157024793,6,3,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,3,9,3.818181818,9,0,0,0,0,0,0,0,0,4.363636364,7,3.008264463,9,2,2,16.27363636,23.26,9.123719008,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.375,0.5,0.125,0,1,0.708320593,0.313692664,None
Y3NbO7,1.6,1080,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,19.45454545,33,14.5785124,41,8,8,62.90909091,75,30.66115702,87,12,87,42.87452091,76.90698,34.20469934,92.90638,15.9994,15.9994,775.5090909,2695.2,917.2661157,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.090909091,3,1.388429752,5,2,2,108.7272727,124,54.38016529,190,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.636363636,4,0.809917355,4,0,0,0,0,0,0,0,0,5.090909091,3,1.157024793,6,3,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,3,9,3.818181818,9,0,0,0,0,0,0,0,0,4.363636364,7,3.008264463,9,2,2,16.27363636,23.26,9.123719008,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.375,0.5,0.125,0,1,0.708320593,0.313692664,None
Y3NbO7,1.63,1180,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,19.45454545,33,14.5785124,41,8,8,62.90909091,75,30.66115702,87,12,87,42.87452091,76.90698,34.20469934,92.90638,15.9994,15.9994,775.5090909,2695.2,917.2661157,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.090909091,3,1.388429752,5,2,2,108.7272727,124,54.38016529,190,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.636363636,4,0.809917355,4,0,0,0,0,0,0,0,0,5.090909091,3,1.157024793,6,3,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,3,9,3.818181818,9,0,0,0,0,0,0,0,0,4.363636364,7,3.008264463,9,2,2,16.27363636,23.26,9.123719008,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.375,0.5,0.125,0,1,0.708320593,0.313692664,None
Y3NbO7,1.65,1280,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,19.45454545,33,14.5785124,41,8,8,62.90909091,75,30.66115702,87,12,87,42.87452091,76.90698,34.20469934,92.90638,15.9994,15.9994,775.5090909,2695.2,917.2661157,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.090909091,3,1.388429752,5,2,2,108.7272727,124,54.38016529,190,66,66,2.667272727,2.22,0.983471074,3.44,1.22,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.636363636,4,0.809917355,4,0,0,0,0,0,0,0,0,5.090909091,3,1.157024793,6,3,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,3,9,3.818181818,9,0,0,0,0,0,0,0,0,4.363636364,7,3.008264463,9,2,2,16.27363636,23.26,9.123719008,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.375,0.5,0.125,0,1,0.708320593,0.313692664,None
Er3NbO7,1.1,300,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,27.36363636,60,24.6446281,68,8,8,69.18181818,52,22.67768595,87,35,87,64.24356182,151.2596,61.4016605,167.259,15.9994,15.9994,767.6,2695.2,907.2,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.363636364,4,1.73553719,6,2,2,108.4545455,123,54.03305785,189,66,66,2.672727273,2.2,0.976528926,3.44,1.24,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.363636364,4,0.661157025,4,0,0,3.272727273,12,4.760330579,12,0,0,8.090909091,9,3.223140496,14,5,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,0.545454545,6,0.991735537,6,0,0,0.545454545,2,0.79338843,2,0,0,2.454545455,5,0.826446281,7,2,2,15.78818182,21.48,8.505867769,30.585,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.235955056,0.314606742,0.04494382,0.404494382,1,0.701802721,0.311252968,None
Er3NbO7,1.1,380,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,27.36363636,60,24.6446281,68,8,8,69.18181818,52,22.67768595,87,35,87,64.24356182,151.2596,61.4016605,167.259,15.9994,15.9994,767.6,2695.2,907.2,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.363636364,4,1.73553719,6,2,2,108.4545455,123,54.03305785,189,66,66,2.672727273,2.2,0.976528926,3.44,1.24,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.363636364,4,0.661157025,4,0,0,3.272727273,12,4.760330579,12,0,0,8.090909091,9,3.223140496,14,5,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,0.545454545,6,0.991735537,6,0,0,0.545454545,2,0.79338843,2,0,0,2.454545455,5,0.826446281,7,2,2,15.78818182,21.48,8.505867769,30.585,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.235955056,0.314606742,0.04494382,0.404494382,1,0.701802721,0.311252968,None
Er3NbO7,1.13,480,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,27.36363636,60,24.6446281,68,8,8,69.18181818,52,22.67768595,87,35,87,64.24356182,151.2596,61.4016605,167.259,15.9994,15.9994,767.6,2695.2,907.2,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.363636364,4,1.73553719,6,2,2,108.4545455,123,54.03305785,189,66,66,2.672727273,2.2,0.976528926,3.44,1.24,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.363636364,4,0.661157025,4,0,0,3.272727273,12,4.760330579,12,0,0,8.090909091,9,3.223140496,14,5,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,0.545454545,6,0.991735537,6,0,0,0.545454545,2,0.79338843,2,0,0,2.454545455,5,0.826446281,7,2,2,15.78818182,21.48,8.505867769,30.585,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.235955056,0.314606742,0.04494382,0.404494382,1,0.701802721,0.311252968,None
Er3NbO7,1.16,580,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,27.36363636,60,24.6446281,68,8,8,69.18181818,52,22.67768595,87,35,87,64.24356182,151.2596,61.4016605,167.259,15.9994,15.9994,767.6,2695.2,907.2,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.363636364,4,1.73553719,6,2,2,108.4545455,123,54.03305785,189,66,66,2.672727273,2.2,0.976528926,3.44,1.24,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.363636364,4,0.661157025,4,0,0,3.272727273,12,4.760330579,12,0,0,8.090909091,9,3.223140496,14,5,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,0.545454545,6,0.991735537,6,0,0,0.545454545,2,0.79338843,2,0,0,2.454545455,5,0.826446281,7,2,2,15.78818182,21.48,8.505867769,30.585,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.235955056,0.314606742,0.04494382,0.404494382,1,0.701802721,0.311252968,None
Er3NbO7,1.15,680,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,27.36363636,60,24.6446281,68,8,8,69.18181818,52,22.67768595,87,35,87,64.24356182,151.2596,61.4016605,167.259,15.9994,15.9994,767.6,2695.2,907.2,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.363636364,4,1.73553719,6,2,2,108.4545455,123,54.03305785,189,66,66,2.672727273,2.2,0.976528926,3.44,1.24,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.363636364,4,0.661157025,4,0,0,3.272727273,12,4.760330579,12,0,0,8.090909091,9,3.223140496,14,5,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,0.545454545,6,0.991735537,6,0,0,0.545454545,2,0.79338843,2,0,0,2.454545455,5,0.826446281,7,2,2,15.78818182,21.48,8.505867769,30.585,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.235955056,0.314606742,0.04494382,0.404494382,1,0.701802721,0.311252968,None
Er3NbO7,1.18,780,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,27.36363636,60,24.6446281,68,8,8,69.18181818,52,22.67768595,87,35,87,64.24356182,151.2596,61.4016605,167.259,15.9994,15.9994,767.6,2695.2,907.2,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.363636364,4,1.73553719,6,2,2,108.4545455,123,54.03305785,189,66,66,2.672727273,2.2,0.976528926,3.44,1.24,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.363636364,4,0.661157025,4,0,0,3.272727273,12,4.760330579,12,0,0,8.090909091,9,3.223140496,14,5,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,0.545454545,6,0.991735537,6,0,0,0.545454545,2,0.79338843,2,0,0,2.454545455,5,0.826446281,7,2,2,15.78818182,21.48,8.505867769,30.585,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.235955056,0.314606742,0.04494382,0.404494382,1,0.701802721,0.311252968,None
Er3NbO7,1.17,880,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,27.36363636,60,24.6446281,68,8,8,69.18181818,52,22.67768595,87,35,87,64.24356182,151.2596,61.4016605,167.259,15.9994,15.9994,767.6,2695.2,907.2,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.363636364,4,1.73553719,6,2,2,108.4545455,123,54.03305785,189,66,66,2.672727273,2.2,0.976528926,3.44,1.24,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.363636364,4,0.661157025,4,0,0,3.272727273,12,4.760330579,12,0,0,8.090909091,9,3.223140496,14,5,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,0.545454545,6,0.991735537,6,0,0,0.545454545,2,0.79338843,2,0,0,2.454545455,5,0.826446281,7,2,2,15.78818182,21.48,8.505867769,30.585,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.235955056,0.314606742,0.04494382,0.404494382,1,0.701802721,0.311252968,None
Er3NbO7,1.16,980,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,27.36363636,60,24.6446281,68,8,8,69.18181818,52,22.67768595,87,35,87,64.24356182,151.2596,61.4016605,167.259,15.9994,15.9994,767.6,2695.2,907.2,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.363636364,4,1.73553719,6,2,2,108.4545455,123,54.03305785,189,66,66,2.672727273,2.2,0.976528926,3.44,1.24,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.363636364,4,0.661157025,4,0,0,3.272727273,12,4.760330579,12,0,0,8.090909091,9,3.223140496,14,5,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,0.545454545,6,0.991735537,6,0,0,0.545454545,2,0.79338843,2,0,0,2.454545455,5,0.826446281,7,2,2,15.78818182,21.48,8.505867769,30.585,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.235955056,0.314606742,0.04494382,0.404494382,1,0.701802721,0.311252968,None
Er3NbO7,1.2,1080,3,0.698285977,0.653228741,0.638200714,0.63660489,0.636376938,27.36363636,60,24.6446281,68,8,8,69.18181818,52,22.67768595,87,35,87,64.24356182,151.2596,61.4016605,167.259,15.9994,15.9994,767.6,2695.2,907.2,2750,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.363636364,4,1.73553719,6,2,2,108.4545455,123,54.03305785,189,66,66,2.672727273,2.2,0.976528926,3.44,1.24,3.44,1.909090909,1,0.165289256,2,1,2,2.545454545,4,1.851239669,4,0,4,0.363636364,4,0.661157025,4,0,0,3.272727273,12,4.760330579,12,0,0,8.090909091,9,3.223140496,14,5,6,0.090909091,1,0.165289256,1,0,0,1.272727273,2,0.925619835,2,0,2,0.545454545,6,0.991735537,6,0,0,0.545454545,2,0.79338843,2,0,0,2.454545455,5,0.826446281,7,2,2,15.78818182,21.48,8.505867769,30.585,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,81.36363636,217,88.28099174,229,12,12,0.235955056,0.314606742,0.04494382,0.404494382,1,0.701802721,0.311252968,None
