composition,temperature,NComp,mean_Number,maxdiff_Number,dev_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,most_MendeleevNumber,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,maxdiff_Column,dev_Column,maxdiff_Row,dev_Row,mean_Electronegativity,maxdiff_NsValence,dev_NpValence,maxdiff_NdValence,dev_NdValence,max_NdValence,mean_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,min_NValance,most_NValance,mean_NpUnfilled,maxdiff_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,mean_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,min_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,most_GSbandgap,max_SpaceGroupNumber,CanFormIonic,thermal_conductivity
Hf0.25Zr0.25Ce0.25Y0.25O2,298.0,5,22.75,64,19.66666667,8,8.0,67.66666667,75,25.77777778,87,87.0,2451.2,809.4222222,2506.0,13,5.555555556,4,1.555555556,2.7075,0,1.777777778,2,0.666666667,2,1.25,0.0,6.416666667,15,3,6.0,1.333333333,2,2.0,2.833333333,9,3.777777778,1.083333333,5.25,20,4.333333333,2,15.65333333,28.135,8.731111111,9.105,9.105,0.0,194,0,1.74
Hf0.25Zr0.25Ce0.25Y0.125Yb0.125O2,298.0,6,24.04166667,64,21.38888889,8,8.0,68.79166667,75,24.27777778,87,87.0,2451.2,770.1444444,2506.0,13,5.555555556,4,1.611111111,2.709166667,0,1.777777778,2,0.649305556,2,1.833333333,0.0,6.958333333,15,3,6.0,1.333333333,2,2.0,2.458333333,9,3.482638889,1.083333333,4.875,22,4.239583333,0,15.72645833,28.135,8.828611111,9.105,9.105,0.0,225,0,1.55
Hf0.2Zr0.2Ce0.2Y0.2Yb0.2O2,298.0,6,23.93333333,64,21.24444444,8,8.0,68.33333333,75,24.88888889,87,87.0,2451.2,739.7333333,2506.0,13,5.6,4,1.6,2.708666667,0,1.777777778,2,0.586666667,2,1.933333333,0.0,7.0,15,3,6.0,1.333333333,2,2.0,2.266666667,9,3.324444444,0.866666667,4.466666667,22,3.884444444,0,16.01133333,28.135,9.208444444,9.105,9.105,0.0,225,0,1.29
Hf0.25Zr0.25Ce0.25Y0.125Ca0.125O2,298.0,6,21.95833333,64,18.77430556,8,8.0,67.45833333,80,26.05555556,87,87.0,2451.2,771.4222222,2506.0,14,5.611111111,4,1.5,2.698333333,0,1.777777778,2,0.649305556,2,1.25,0.0,6.375,16,2,6.0,1.333333333,2,2.0,2.458333333,9,3.482638889,1.083333333,4.875,22,4.239583333,0,15.87854167,28.665,9.031388889,9.105,9.105,0.0,225,0,1.1
Hf0.25Zr0.25Ce0.25Y0.125Gd0.125O2,298.0,6,23.79166667,64,21.05555556,8,8.0,68.29166667,75,24.94444444,87,87.0,2451.2,797.5888889,2506.0,13,5.555555556,4,1.611111111,2.706666667,0,1.777777778,2,0.666666667,2,1.541666667,0.0,6.708333333,15,3,6.0,1.333333333,2,2.0,2.833333333,9,3.777777778,1.375,5.541666667,20,4.722222222,2,15.64020833,28.135,8.713611111,9.105,9.105,0.0,194,0,1.17
Hf0.2Zr0.2Ce0.2Y0.2Gd0.2O2,298.0,6,23.53333333,64,20.71111111,8,8.0,67.53333333,75,25.95555556,87,87.0,2451.2,783.6444444,2506.0,13,5.6,4,1.6,2.704666667,0,1.777777778,2,0.622222222,2,1.466666667,0.0,6.6,15,3,6.0,1.333333333,2,2.0,2.866666667,9,3.822222222,1.333333333,5.533333333,20,4.711111111,2,15.87333333,28.135,9.024444444,9.105,9.105,0.0,194,0,1.61
Hf0.25Zr0.25Ce0.25Yb0.125Gd0.125O2,298.0,6,25.08333333,64,22.77777778,8,8.0,69.41666667,72,23.44444444,87,87.0,2451.2,758.3111111,2506.0,13,5.555555556,4,1.666666667,2.708333333,0,1.777777778,2,0.649305556,2,2.125,0.0,7.25,14,4,6.0,1.333333333,2,2.0,2.458333333,9,3.482638889,1.375,5.166666667,22,4.652777778,0,15.71333333,28.135,8.811111111,9.105,9.105,0.0,225,0,1.81
Hf0.2Zr0.2Ce0.2Yb0.2Gd0.2O2,298.0,6,25.6,64,23.46666667,8,8.0,69.33333333,72,23.55555556,87,87.0,2451.2,720.8,2506.0,13,5.6,4,1.688888889,2.707333333,0,1.777777778,2,0.586666667,2,2.4,0.0,7.466666667,14,4,6.0,1.333333333,2,2.0,2.266666667,9,3.324444444,1.333333333,4.933333333,22,4.568888889,0,15.99033333,28.135,9.180444444,9.105,9.105,0.0,225,0,1.62
Cu1.92S,300.0,2,24.54794521,13,5.85475699,16,29.0,72.21917808,24,10.80878214,88,64.0,969.41,436.5892287,1357.77,5,2.251829612,1,0.450365922,2.132876712,1,1.801463689,10,4.503659223,10,0.0,0.0,9.287671233,5,6,11.0,0.684931507,2,0.0,0.0,0,0.0,0.0,1.342465753,1,0.450365922,1,16.11002568,14.716875,6.627978983,11.07,11.07,0.0,225,0,1.06
Cu1.9Se,300.0,2,30.72413793,5,2.25921522,29,29.0,72.62068966,25,11.2960761,89,64.0,863.77,390.2884661,1357.77,5,2.25921522,0,0.0,2.124137931,1,1.807372176,0,0.0,10,0.0,0.0,12.72413793,5,11,11.0,0.689655172,2,0.0,0.0,0,0.0,0.0,1.344827586,1,0.451843044,1,16.19068966,14.85,6.709869203,11.07,11.07,0.0,225,0,2.16
Cu2Te,300.0,2,36.66666667,23,10.22222222,29,29.0,72.66666667,26,11.55555556,90,64.0,635.11,282.2711111,1357.77,5,2.222222222,1,0.444444444,1.966666667,1,1.777777778,0,0.0,10,0.0,0.0,12.66666667,5,11,11.0,0.666666667,2,0.0,0.0,0,0.0,0.0,1.333333333,1,0.444444444,1,18.96777778,23.69333333,10.53037037,11.07,11.07,0.0,225,1,2.08
Cu2Se0.8Te0.2,300.0,3,31.86666667,23,3.822222222,29,29.0,72.4,26,11.2,90,64.0,863.77,363.5724444,1357.77,5,2.222222222,1,0.124444444,2.086666667,1,1.777777778,0,0.0,10,0.0,0.0,12.66666667,5,11,11.0,0.666666667,2,0.0,0.0,0,0.0,0.0,1.333333333,1,0.444444444,1,16.60955556,23.69333333,7.386074074,11.07,11.07,0.0,225,1,1.37
Cu2Se0.5Te0.5,300.0,3,33.66666667,23,6.222222222,29,29.0,72.5,26,11.33333333,90,64.0,863.77,333.0844444,1357.77,5,2.222222222,1,0.277777778,2.041666667,1,1.777777778,0,1.78e-15,10,0.0,0.0,12.66666667,5,11,11.0,0.666666667,2,0.0,0.0,0,0.0,0.0,1.333333333,1,0.444444444,1,17.49388889,23.69333333,8.565185185,11.07,11.07,0.0,225,1,1.03
Cu2S0.50Te0.50,300.0,3,30.66666667,36,7.111111111,16,29.0,72.33333333,26,11.11111111,90,64.0,969.41,356.56,1357.77,5,2.222222222,2,0.333333333,2.046666667,1,1.777777778,10,2.777777778,10,0.0,0.0,11.0,10,6,11.0,0.666666667,2,0.0,0.0,0,0.0,0.0,1.333333333,1,0.444444444,1,17.47170139,23.69333333,8.535601852,11.07,11.07,0.0,225,1,0.52
Cu2S0.52Te0.48,300.0,3,30.42666667,36,6.903466667,16,29.0,72.32,26,11.09333333,90,64.0,969.41,359.5315556,1357.77,5,2.222222222,2,0.342044444,2.049866667,1,1.777777778,10,2.865777778,10,0.0,0.0,10.93333333,10,6,11.0,0.666666667,2,0.0,0.0,0,0.0,0.0,1.333333333,1,0.444444444,1,17.41185833,23.69333333,8.455811111,11.07,11.07,0.0,225,1,0.48
Cu2S0.54Te0.46,300.0,3,30.18666667,36,6.689422222,16,29.0,72.30666667,26,11.07555556,90,64.0,969.41,362.5031111,1357.77,5,2.222222222,2,0.3504,2.053066667,1,1.777777778,10,2.952,10,0.0,0.0,10.86666667,10,6,11.0,0.666666667,2,0.0,0.0,0,0.0,0.0,1.333333333,1,0.444444444,1,17.35201528,23.69333333,8.37602037,11.07,11.07,0.0,225,1,0.41
Cu1.94S0.5Se0.5,300.0,3,27.63945578,18,3.958998565,16,29.0,72.33333333,25,10.99773243,89,64.0,969.41,411.44537,1357.77,5,2.244435189,1,0.282289787,2.126190476,1,1.795548151,10,2.822897867,10,0.0,0.0,11.0,10,6,11.0,0.680272109,2,0.0,0.0,0,0.0,0.0,1.340136054,1,0.448887038,1,16.0983801,14.85,6.636093468,11.07,11.07,0.0,225,0,0.67
Cu2S0.333Se0.333Te0.333,300.0,4,30.66555519,36,5.478319604,16,29.0,72.32777593,26,11.1074037,90,64.0,969.41,365.5505798,1357.77,5,2.22148074,2,0.222074025,2.069886629,1,1.777184592,10,1.974155885,10,0.0,0.0,11.55518506,10,6,11.0,0.666222074,2,0.0,0.0,0,0.0,0.0,1.333111037,1,0.444296148,1,16.98385441,23.69333333,7.887768469,11.07,11.07,0.0,225,0,0.35
Cu1.95Ag0.05S0.333Se0.333Te0.333,300.0,5,30.96565522,36,5.879687138,16,29.0,72.34444815,26,11.0962963,90,64.0,969.41,364.1861463,1357.77,5,2.22148074,2,0.251160079,2.070386796,1,1.777184592,10,1.974155885,10,0.0,0.0,11.55518506,10,6,11.0,0.666222074,2,0.0,0.0,0,0.0,0.0,1.333111037,1,0.444296148,1,17.07155031,23.69333333,7.829343526,11.07,11.07,0.0,225,0,0.39
CuInTe2,300.0,3,45.5,23,8.25,29,52.0,79.75,26,10.25,90,90.0,928.02,274.78,1357.77,5,2.0,1,0.375,1.97,1,1.75,0,0.0,10,0.0,0.0,14.0,5,11,16.0,2.25,5,2.0,0.0,0,0.0,0.0,2.5,4,1.25,1,26.21416667,23.69333333,8.549166667,11.07,34.76333333,0.464,225,1,6.03
Cu0.99GaTe2,300.0,3,41.03007519,23,10.99741836,29,52.0,79.53884712,26,10.48737131,90,90.0,1054.86,289.1727062,1357.77,5,1.99747489,1,0.499996859,1.977694236,1,1.748732734,0,0.0,10,0.0,0.0,14.0075188,5,11,16.0,2.255639098,5,2.0,0.0,0,0.0,0.0,2.503759398,4,1.251248422,1,24.89811195,23.69333333,9.889946252,11.07,34.76333333,0.464,225,0,7.8
Cu0.99In0.5Ga0.5Te2,300.0,4,43.28571429,23,10.16827784,29,52.0,79.6641604,26,10.36174396,90,90.0,1054.86,281.2850924,1357.77,5,1.99747489,1,0.467961885,1.973934837,1,1.748732734,0,0.0,10,0.0,0.0,14.0075188,5,11,16.0,2.255639098,5,2.0,0.0,0,0.0,0.0,2.503759398,4,1.251248422,1,25.57511696,23.69333333,9.211244485,11.07,34.76333333,0.464,225,0,3.5
Cu0.88Ag0.1InTe2,300.0,4,46.03517588,23,7.533143102,29,52.0,79.85427136,26,10.1967122,90,90.0,928.02,267.344663,1357.77,5,1.994899119,1,0.344435747,1.971105528,1,1.74743062,0,0.0,10,0.0,0.0,14.01507538,5,11,16.0,2.261306533,5,2.0,0.0,0,0.0,0.0,2.507537688,4,1.252493624,1,26.42242881,23.69333333,8.382818616,11.07,34.76333333,0.464,225,0,2.84
Cu0.75Ag0.2InTe2,300.0,4,46.62025316,23,6.691235379,29,52.0,80.0,26,10.12658228,90,90.0,928.02,258.243743,1357.77,5,1.98686108,1,0.307643006,1.972405063,1,1.743310367,0,0.0,10,0.0,0.0,14.03797468,5,11,16.0,2.278481013,5,2.0,0.0,0,0.0,0.0,2.518987342,4,1.256208941,1,26.67219409,23.69333333,8.193558725,11.07,34.76333333,0.464,225,0,1.84
Cu0.88Ag0.1InTe2,300.0,4,46.03517588,23,7.533143102,29,52.0,79.85427136,26,10.1967122,90,90.0,928.02,267.344663,1357.77,5,1.994899119,1,0.344435747,1.971105528,1,1.74743062,0,0.0,10,0.0,0.0,14.01507538,5,11,16.0,2.261306533,5,2.0,0.0,0,0.0,0.0,2.507537688,4,1.252493624,1,26.42242881,23.69333333,8.382818616,11.07,34.76333333,0.464,225,0,2.9
Cu0.75Ag0.2InTe2,300.0,4,46.62025316,23,6.691235379,29,52.0,80.0,26,10.12658228,90,90.0,928.02,258.243743,1357.77,5,1.98686108,1,0.307643006,1.972405063,1,1.743310367,0,0.0,10,0.0,0.0,14.03797468,5,11,16.0,2.278481013,5,2.0,0.0,0,0.0,0.0,2.518987342,4,1.256208941,1,26.67219409,23.69333333,8.193558725,11.07,34.76333333,0.464,225,0,1.95
Cu0.9Ag0.1In0.5Ga0.5Te2,300.0,5,43.7,23,9.79,29,52.0,79.65,26,10.35,90,90.0,1054.86,278.101,1357.77,5,2.0,1,0.455,1.9745,1,1.75,0,0.0,10,0.0,0.0,14.0,5,11,16.0,2.25,5,2.0,0.0,0,0.0,0.0,2.5,4,1.25,1,25.67035417,23.69333333,9.092979167,11.07,34.76333333,0.464,225,1,2.58
Cu0.8Ag0.2In0.5Ga0.5Te2,300.0,5,44.15,23,9.3475,29,52.0,79.675,26,10.325,90,90.0,1054.86,273.4945,1357.77,5,2.0,1,0.43875,1.97525,1,1.75,0,0.0,10,0.0,0.0,14.0,5,11,16.0,2.25,5,2.0,0.0,0,0.0,0.0,2.5,4,1.25,1,25.80185417,23.69333333,8.961479167,11.07,34.76333333,0.464,225,1,1.9
Cu0.5Ag0.5In0.5Ga0.5Te2,300.0,5,45.5,23,7.75,29,52.0,79.75,26,10.25,90,90.0,1054.86,259.675,1357.77,5,2.0,1,0.375,1.9775,1,1.75,0,0.0,10,0.0,0.0,14.0,5,11,16.0,2.25,5,2.0,0.0,0,0.0,0.0,2.5,4,1.25,1,26.19635417,23.69333333,8.566979167,11.07,34.76333333,0.464,225,1,1.42
Mn0.25Ge0.25Sn0.25Pb0.25Te,300.0,5,49.625,57,10.5625,25,52.0,81.5,38,8.5,90,90.0,1013.92,262.179375,1519.0,9,1.875,2,0.4375,2.03125,0,1.25,5,1.09375,10,1.75,0.0,15.875,21,7,16.0,2.5,4,2.0,0.625,5,1.09375,0.0,3.125,3,1.125,2,29.24261494,24.27574713,6.531314655,10.48758621,34.76333333,0.464,225,1,1.15
Cu8GeSe6,300.0,3,31.2,5,2.346666667,29,29.0,75.0,25,11.73333333,89,64.0,863.77,406.8032,1357.77,5,2.346666667,0,0.0,2.167333333,1,1.848888889,0,0.0,10,0.0,0.0,13.2,5,11,11.0,1.066666667,4,0.0,0.0,0,0.0,0.0,1.6,3,0.64,1,17.80566667,14.85,7.184711111,11.07,11.07,0.0,225,1,0.31
Cu8GeSe5.7Te0.3,300.0,4,31.56,23,2.730666667,29,29.0,75.02,26,11.75466667,90,64.0,863.77,401.31536,1357.77,5,2.346666667,1,0.0392,2.158333333,1,1.848888889,0,0.0,10,0.0,0.0,13.2,5,11,11.0,1.066666667,4,0.0,0.0,0,0.0,0.0,1.6,3,0.64,1,17.98253333,23.69333333,7.373368889,11.07,11.07,0.0,225,1,0.29
Cu8GeSe5.4Te0.6,300.0,4,31.92,23,3.114666667,29,29.0,75.04,26,11.776,90,64.0,863.77,395.82752,1357.77,5,2.346666667,1,0.0768,2.149333333,1,1.848888889,0,0.0,10,0.0,0.0,13.2,5,11,11.0,1.066666667,4,0.0,0.0,0,0.0,0.0,1.6,3,0.64,1,18.1594,23.69333333,7.562026667,11.07,11.07,0.0,225,1,0.51
Cu7.6Ag0.4GeSe5.1Te0.9,300.0,5,32.76,23,3.911466667,29,29.0,75.08666667,26,11.77244444,90,64.0,863.77,387.7190933,1357.77,5,2.346666667,1,0.158311111,2.141133333,1,1.848888889,0,0.0,10,0.0,0.0,13.2,5,11,11.0,1.066666667,4,0.0,0.0,0,0.0,0.0,1.6,3,0.64,1,18.47653333,23.69333333,7.619768889,11.07,11.07,0.0,225,1,0.41
CaSrBaZr3O9,304.15,5,20.4,48,14.93333333,8,8.0,62.6,80,29.28,87,87.0,2073.2,737.616,2128.0,14,6.24,4,1.44,2.519333333,0,1.92,2,0.64,2,0.0,0.0,4.8,4,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,20.47466667,54.485,13.6436,9.105,9.105,0.0,229,1,1.466
CaSrBaZr3O9,304.05,5,20.4,48,14.93333333,8,8.0,62.6,80,29.28,87,87.0,2073.2,737.616,2128.0,14,6.24,4,1.44,2.519333333,0,1.92,2,0.64,2,0.0,0.0,4.8,4,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,20.47466667,54.485,13.6436,9.105,9.105,0.0,229,1,1.292
CaSrBaZr3O9,303.75,5,20.4,48,14.93333333,8,8.0,62.6,80,29.28,87,87.0,2073.2,737.616,2128.0,14,6.24,4,1.44,2.519333333,0,1.92,2,0.64,2,0.0,0.0,4.8,4,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,20.47466667,54.485,13.6436,9.105,9.105,0.0,229,1,1.089
Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2O2,298.0,6,21.46666667,64,17.95555556,8,8.0,73.13333333,72,19.40444444,87,87.0,2451.2,710.1660444,2506.0,13,4.72,4,1.422222222,2.776666667,0,1.6,10,1.528888889,10,1.0,0.0,6.933333333,14,4,6.0,1.6,4,2.0,2.2,9,3.226666667,0.866666667,4.666666667,20,3.644444444,2,14.91066667,28.135,7.740888889,9.105,9.105,0.0,194,1,1.28
BaZrO3,1273.15,3,24.0,48,19.2,8,8.0,62.8,78,29.04,87,87.0,2073.2,724.416,2128.0,14,6.24,4,1.68,2.508,0,1.92,2,0.64,2,0.0,0.0,4.8,4,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,22.82,54.485,16.458,9.105,9.105,0.0,229,1,3.42
SrZrO3,1273.15,3,20.4,32,14.88,8,8.0,62.6,79,29.28,87,87.0,2073.2,736.416,2128.0,14,6.24,3,1.44,2.52,0,1.92,2,0.64,2,0.0,0.0,4.8,4,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,20.948,45.125,14.2116,9.105,9.105,0.0,225,1,2.3
CaZrO3,1273.15,3,16.8,32,10.56,8,8.0,62.4,80,29.52,87,87.0,2073.2,752.016,2128.0,14,6.24,3,1.2,2.53,0,1.92,2,0.64,2,0.0,0.0,4.8,4,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,17.656,28.665,10.2612,9.105,9.105,0.0,225,1,2.0
LaMgAl11O19,1273.15,4,11.375,49,4.0078125,8,8.0,79.28125,74,9.166015625,87,87.0,1138.2,433.1320898,1193.0,14,2.2265625,4,0.59375,2.67125,0,1.521484375,1,0.060546875,1,0.0,0.0,4.75,4,2,6.0,2.90625,5,2.0,0.28125,9,0.544921875,0.0,3.1875,9,1.609375,0,12.93945313,27.7925,4.553413086,9.105,9.105,0.0,225,1,2.7
GdMgAl11O19,1273.15,4,11.59375,56,4.267578125,8,8.0,79.71875,60,8.646484375,87,87.0,1531.2,447.7160742,1586.0,14,2.2265625,4,0.59375,2.674375,0,1.521484375,1,0.060546875,1,0.21875,0.0,4.96875,8,2,6.0,2.90625,5,2.0,0.28125,9,0.544921875,0.21875,3.40625,16,1.8828125,0,12.78796875,22.945,4.373525391,9.105,9.105,0.0,225,1,2.6
Gd0.7Yb0.3MgAl11O19,1273.15,5,11.65,62,4.334375,8,8.0,79.83125,60,8.512890625,87,87.0,1531.2,442.2164648,1586.0,14,2.2265625,4,0.59375,2.6749375,0,1.521484375,1,0.042792969,1,0.284375,0.0,5.025,14,2,6.0,2.90625,5,2.0,0.196875,9,0.385136719,0.153125,3.25625,16,1.756367188,0,12.807375,25.015,4.396570313,9.105,9.105,0.0,225,1,1.9
LaLiAl11O18.5,1273.15,4,11.14285714,54,4.20861678,3,8.0,77.03174603,86,11.70874276,87,87.0,1138.2,417.7284152,1193.0,15,2.27462837,4,0.589569161,2.648571429,1,1.528848576,1,0.061476442,1,0.0,0.0,4.698412698,5,1,6.0,2.920634921,5,2.0,0.285714286,9,0.553287982,0.0,3.238095238,8,1.596371882,1,12.80042328,27.7925,4.340655917,9.105,9.105,0.0,229,1,3.8
BaMg0.333Ta0.667O3 ,1273.15,4,26.5374,65,24.18126168,8,8.0,64.932,78,26.8902576,87,87.0,3235.2,814.12536,3290.0,14,6.23976,4,1.73354664,2.529346,0,1.92,3,0.69362664,3,1.8676,0.0,6.6678,17,2,6.0,1.2,2,2.0,0.9338,7,1.61846216,0.0,2.1338,7,1.29830216,0,22.122682,54.485,16.68913396,9.105,9.105,0.0,229,0,2.71
LaAl0.25Mg0.5Ta0.25O3,1273.15,5,21.7,65,19.25,8,8.0,67.64999999999999,74,23.825000000000003,87,87.0,3235.2,624.1842000000001,3290.0,14,5.8100000000000005,4,1.4250000000000003,2.5705,0,1.86,3,0.5249999999999999,3,0.7000000000000001,0.0,5.5,17,2,6.0,1.45,5,2.0,2.15,9,3.2249999999999996,0.0,3.5999999999999996,9,2.6399999999999997,0,16.8615,27.7925,9.345949999999998,9.105,9.105,0.0,229,1,1.82
BaLa2Ti3O10,1473.15,4,19.75,49,14.6875,8,8.0,64.625,78,27.96875,87,87.0,1886.2,693.765625,1941.0,14,5.9375,4,1.40625,2.631875,0,1.875,2,0.6875,2,0.0,0.0,5.0,4,2,6.0,1.25,2,2.0,2.625,9,3.609375,0.0,3.875,9,2.828125,0,17.4065625,54.485,10.64566406,9.105,9.105,0.0,229,1,0.7
La2Zr2O7,1273.15,3,22.72727273,49,18.74380165,8,8.0,65.72727273,74,27.07438017,87,87.0,2073.2,743.1338843,2128.0,13,5.785123967,4,1.619834711,2.630909091,0,1.851239669,2,0.694214876,2,0.0,0.0,5.090909091,3,3,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,16.72,27.7925,9.691818182,9.105,9.105,0.0,194,1,1.56
Gd2Zr2O7,1073.15,3,24.0,56,20.36363636,8,8.0,68.27272727,60,23.83471074,87,87.0,2073.2,834.0760331,2128.0,13,5.785123967,4,1.619834711,2.649090909,0,1.851239669,2,0.694214876,2,1.272727273,0.0,6.363636364,6,4,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,1.272727273,5.636363636,14,4.628099174,2,15.83863636,22.945,8.570082645,9.105,9.105,0.0,194,1,1.6
Sm2Zr2O7,298.0,3,23.63636364,54,19.90082645,8,8.0,67.54545455,64,24.76033058,87,87.0,2073.2,778.307438,2128.0,13,5.785123967,4,1.619834711,2.643636364,0,1.851239669,2,0.595041322,2,1.090909091,0.0,6.0,4,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,1.454545455,4.181818182,6,2.776859504,2,16.05318182,24.125,8.843140496,9.105,9.105,0.0,194,1,2.04
La2HfZrO7,298.0,4,25.63636364,64,22.44628099,8,8.0,65.81818182,74,26.95867769,87,87.0,2451.2,786.8694215,2506.0,13,5.785123967,4,1.73553719,2.628181818,0,1.851239669,2,0.694214876,2,1.272727273,0.0,6.363636364,15,3,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,16.62954545,27.7925,9.576694215,9.105,9.105,0.0,194,1,2.29
Sm2Sn0.5Ti0.5Hf0.5Zr0.5O7,298.0,6,24.72727273,64,21.53719008,8,8.0,69.18181818,64,23.66115702,87,87.0,2451.2,704.2109091,2506.0,13,5.396694215,4,1.619834711,2.680454545,0,1.73553719,10,1.190082645,10,1.727272727,0.0,7.090909091,14,4,6.0,1.454545455,4,2.0,1.090909091,8,1.884297521,1.454545455,4.0,6,2.545454545,2,16.17090909,24.18,8.992975207,9.105,9.105,0.0,194,1,1.73
Gd2Sn0.5Ti0.5Hf0.5Zr0.5O7,298.0,6,25.09090909,64,22.03305785,8,8.0,69.90909091,60,22.66942149,87,87.0,2451.2,763.9629752,2506.0,13,5.396694215,4,1.619834711,2.685909091,0,1.73553719,10,1.157024793,10,1.909090909,0.0,7.454545455,14,4,6.0,1.454545455,4,2.0,2.727272727,9,3.719008264,1.272727273,5.454545455,14,4.52892562,2,15.95636364,24.18,8.719917355,9.105,9.105,0.0,194,1,1.58
SmGdTi0.667Hf0.667Zr0.667O7,298.0,6,24.66848468,64,21.53609164,8,8.0,67.90691755,64,24.29807783,87,87.0,2451.2,821.0224751,2506.0,13,5.785460447,4,1.61988728,2.657157531,0,1.851365852,2,0.661301246,2,2.030542678,0.0,7.030451777,14,4,6.0,1.272611581,2,2.0,2.273247887,9,3.306241813,1.363512408,4.909371875,14,3.702500341,2,15.49183665,24.125,8.127962287,9.105,9.105,0.0,194,0,1.47
EuGdTi0.667Hf0.667Zr0.667O7,298.0,6,24.75938551,64,21.66279587,8,8.0,68.08871921,62,24.06671494,87,87.0,2451.2,792.1021137,2506.0,13,5.785460447,4,1.61988728,2.658521044,0,1.851365852,2,0.661301246,2,2.121443505,0.0,7.121352604,14,4,6.0,1.272611581,2,2.0,2.273247887,9,3.306241813,1.272611581,4.818471048,14,3.586818896,2,15.78544632,27.355,8.501613355,9.105,9.105,0.0,229,0,1.52
LaPrSn0.667Hf0.667Zr0.667O7,298.0,6,25.45714026,64,22.21615886,8,8.0,68.33224252,74,25.1716565,87,87.0,2451.2,655.6403316,2506.0,13,5.249091527,4,1.697046804,2.669896373,0,1.697046804,10,1.366759751,10,1.121534406,0.0,6.727752023,15,3,6.0,1.515134988,4,2.0,1.788201073,9,2.817623615,0.999909099,4.30324516,9,2.967908488,2,17.16089992,27.7925,10.25203153,9.105,9.105,0.0,194,0,2.24
EuGdSn0.667Hf0.667Zr0.667O7,298.0,6,26.45704936,64,23.48865476,8,8.0,70.33206072,62,22.38416334,87,87.0,2451.2,691.6243342,2506.0,13,5.249091527,4,1.697046804,2.683986001,0,1.697046804,10,1.366759751,10,2.121443505,0.0,7.727661122,14,4,6.0,1.515134988,4,2.0,1.788201073,9,2.817623615,1.272611581,4.575947641,14,3.348021192,2,16.79161531,27.355,9.782075657,9.105,9.105,0.0,229,0,2.24
La0.667Pr0.667Nd0.667HfZrO7,298.0,6,25.94236888,64,22.83366642,8,8.0,66.41968912,74,26.19074196,87,87.0,2451.2,795.4999091,2506.0,13,5.785576128,4,1.735684407,2.632287065,0,1.851365852,2,0.64277202,2,1.697027543,0.0,6.666484865,15,3,6.0,1.272611581,2,2.0,2.000090901,9,3.030407702,1.273247887,4.545950368,9,3.240005923,2,16.43069971,27.7925,9.322770287,9.105,9.105,0.0,194,0,2.16
Sm0.667Eu0.667Gd0.667HfZrO7,298.0,6,26.73056995,64,23.83674023,8,8.0,67.99609126,64,24.18459434,87,87.0,2451.2,821.3483497,2506.0,13,5.785576128,4,1.735684407,2.643503772,0,1.851365852,2,0.64277202,2,2.485228616,0.0,7.454685938,14,4,6.0,1.272611581,2,2.0,2.000090901,9,3.030407702,1.333878738,4.60658122,14,3.317165447,2,16.08859013,27.355,8.887397672,9.105,9.105,0.0,229,0,1.97
Sm0.667Eu0.667Gd0.667Sn0.667Hf0.667Zr0.667O7,298.0,7,26.36947828,64,23.37508597,8,8.0,70.14615524,64,22.64123391,87,87.0,2451.2,692.0367581,2506.0,13,5.249762177,4,1.697200962,2.682486366,0,1.697200962,10,1.377708391,10,2.061261589,0.0,7.636884203,14,4,6.0,1.514997273,4,2.0,1.515633521,9,2.479952249,1.333757499,4.364388293,14,3.052856761,2,16.73106163,27.355,9.704132226,9.105,9.105,0.0,229,0,2.21
Sm0.667Eu0.667Gd0.667Ti0.5Sn0.5Hf0.5Zr0.5O7,298.0,8,24.9125534,64,21.78786484,8,8.0,69.54140533,64,23.16870467,87,87.0,2451.2,703.4950424,2506.0,13,5.397307883,4,1.620002961,2.683045632,0,1.735684407,10,1.193680114,10,1.848922825,0.0,7.272884283,14,4,6.0,1.454413235,4,2.0,1.636487592,9,2.628257683,1.333878738,4.424779565,14,3.12441537,2,16.29675302,27.355,9.152308182,9.105,9.105,0.0,229,0,1.67
