composition,temperature,NComp,mean_Number,maxdiff_Number,dev_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,most_MendeleevNumber,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,maxdiff_Column,dev_Column,maxdiff_Row,dev_Row,mean_Electronegativity,maxdiff_NsValence,dev_NpValence,maxdiff_NdValence,dev_NdValence,max_NdValence,mean_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,min_NValance,most_NValance,mean_NpUnfilled,maxdiff_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,mean_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,min_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,most_GSbandgap,max_SpaceGroupNumber,CanFormIonic,thermal_conductivity
TiC,298.15,2,14.0,16,8.0,6,14.0,60.0,34,17.0,77,60.0,1882.0,941.0,3823.0,10,5.0,2,1.0,2.045,0,1.0,2,1.0,2,0.0,0.0,4.0,0,4,4.0,2.0,4,2.0,4.0,8,4.0,0.0,6.0,4,2.0,4,11.165,11.05,5.525,5.64,11.165,2.248,194,1,22.2
VC,298.15,2,14.5,17,8.5,6,14.5,61.5,31,15.5,77,61.5,1640.0,820.0,3823.0,9,4.5,2,1.0,2.09,0,1.0,3,1.5,3,0.0,0.0,4.5,1,4,4.5,2.0,4,2.0,3.5,7,3.5,0.0,5.5,3,1.5,4,9.325,7.37,3.685,5.64,9.325,2.248,229,1,38.9
Zr0.25Nb0.25Ti0.25V0.25C,298.15,5,18.75,35,12.75,6,6.0,61.0,34,16.0,77,77.0,1882.0,786.25,3823.0,10,4.75,3,1.25,2.0375,1,1.0,4,1.375,4,0.0,0.0,4.25,1,4,4.0,2.0,4,4.0,3.625,8,3.625,0.0,5.75,4,1.75,4,11.704375,17.555,6.064375,5.64,5.64,4.496,229,1,15.3
Zn0.1Ca0.1Sr0.4Ba0.4ZrO3,298.15,6,21.32,48,16.0368,8,8.0,63.88,80,27.9488,87,87.0,2073.2,724.60032,2128.0,14,6.04,4,1.488,2.5302,0,1.92,10,0.936,10,0.0,0.0,5.0,10,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,20.5622,54.485,14.012728,9.105,9.105,0.0,229,1,1.46
Zn0.1Ca0.1Sr0.4Ba0.4ZrO3,1473.15,6,21.32,48,16.0368,8,8.0,63.88,80,27.9488,87,87.0,2073.2,724.60032,2128.0,14,6.04,4,1.488,2.5302,0,1.92,10,0.936,10,0.0,0.0,5.0,10,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,20.5622,54.485,14.012728,9.105,9.105,0.0,229,1,1.87
BaZrO3,1273.15,3,24.0,48,19.2,8,8.0,62.8,78,29.04,87,87.0,2073.2,724.416,2128.0,14,6.24,4,1.68,2.508,0,1.92,2,0.64,2,0.0,0.0,4.8,4,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,22.82,54.485,16.458,9.105,9.105,0.0,229,1,5.75
SrZrO3,623.15,3,20.4,32,14.88,8,8.0,62.6,79,29.28,87,87.0,2073.2,736.416,2128.0,14,6.24,3,1.44,2.52,0,1.92,2,0.64,2,0.0,0.0,4.8,4,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,20.948,45.125,14.2116,9.105,9.105,0.0,225,1,2.23
BaZrO3,298.15,3,24.0,48,19.2,8,8.0,62.8,78,29.04,87,87.0,2073.2,724.416,2128.0,14,6.24,4,1.68,2.508,0,1.92,2,0.64,2,0.0,0.0,4.8,4,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,22.82,54.485,16.458,9.105,9.105,0.0,229,1,2.84
La2Zr2O7,298.15,3,22.72727273,49,18.74380165,8,8.0,65.72727273,74,27.07438017,87,87.0,2073.2,743.1338843,2128.0,13,5.785123967,4,1.619834711,2.630909091,0,1.851239669,2,0.694214876,2,0.0,0.0,5.090909091,3,3,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,16.72,27.7925,9.691818182,9.105,9.105,0.0,194,1,1.9
SrZrO3,1223.15,3,20.4,32,14.88,8,8.0,62.6,79,29.28,87,87.0,2073.2,736.416,2128.0,14,6.24,3,1.44,2.52,0,1.92,2,0.64,2,0.0,0.0,4.8,4,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,20.948,45.125,14.2116,9.105,9.105,0.0,225,1,3.3
CaZrO3,298.0,3,16.8,32,10.56,8,8.0,62.4,80,29.52,87,87.0,2073.2,752.016,2128.0,14,6.24,3,1.2,2.53,0,1.92,2,0.64,2,0.0,0.0,4.8,4,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,17.656,28.665,10.2612,9.105,9.105,0.0,225,1,2.02
CaZrO3,1473.15,3,16.8,32,10.56,8,8.0,62.4,80,29.52,87,87.0,2073.2,752.016,2128.0,14,6.24,3,1.2,2.53,0,1.92,2,0.64,2,0.0,0.0,4.8,4,2,6.0,1.2,2,2.0,1.6,8,2.56,0.0,2.8,8,2.08,0,17.656,28.665,10.2612,9.105,9.105,0.0,225,1,2.33
ZrY2O5,298.0,3,19.75,32,14.6875,8,8.0,62.875,75,30.15625,87,87.0,2073.2,869.0,2128.0,13,5.9375,3,1.40625,2.62125,0,1.875,2,0.625,2,0.0,0.0,5.0,3,3,6.0,1.25,2,2.0,3.25,9,4.0625,0.0,4.5,7,3.125,2,16.68125,23.26,9.4703125,9.105,9.105,0.0,194,1,2.3
ZrY2O5,973.15,3,19.75,32,14.6875,8,8.0,62.875,75,30.15625,87,87.0,2073.2,869.0,2128.0,13,5.9375,3,1.40625,2.62125,0,1.875,2,0.625,2,0.0,0.0,5.0,3,3,6.0,1.25,2,2.0,3.25,9,4.0625,0.0,4.5,7,3.125,2,16.68125,23.26,9.4703125,9.105,9.105,0.0,194,1,3.0
Mg0.2Ni0.2Cu0.2Co0.2Zn0.2O,298.0,6,16.6,22,9.52,8,8.0,75.5,29,11.5,87,87.0,1713.2,619.545,1768.0,14,3.6,2,0.9,2.585,1,2.0,10,4.2,10,0.0,0.0,7.4,10,2,6.0,1.0,2,2.0,0.5,3,0.8,0.0,1.6,3,0.76,0,11.401,13.785,2.8096,9.105,9.105,0.0,225,1,2.95
Mg0.167Ni0.167Cu0.167Co0.167Zn0.167Sc0.167O,298.0,7,16.25824176,22,8.960407724,8,8.0,71.06743257,76,15.91665078,87,87.0,1759.2,667.1694,1814.0,14,4.097912577,2,0.916665752,2.553281718,1,1.999998004,10,3.835162839,10,0.0,0.0,6.917582418,10,2,6.0,0.999000999,2,2.0,1.167832168,9,1.751164919,0.0,2.25024975,9,1.251165418,0,12.1155045,13.785,3.793533714,9.105,9.105,0.0,225,0,1.68
